Long term trend report for PROD1_documentos
Week ending,02/26/2017,03/05/2017,03/12/2017,03/19/2017,03/26/2017,04/02/2017,04/09/2017,04/16/2017,04/23/2017,04/30/2017,05/07/2017,05/14/2017
"End user page views",-,-,-,-,-,-,-,-,-,-,-,-
"End user load time sec",-,-,-,-,-,-,-,-,-,-,-,-
"End user apdex",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"End user % satisfied",0,0,0,0,0,0,0,0,0,0,0,0
"End user % tolerating",0,0,0,0,0,0,0,0,0,0,0,0
"End user % frustrated",0,0,0,0,0,0,0,0,0,0,0,0
"App server requests  (thousands)",1760,1700,1670,1580,1670,1720,1560,1620,1660,1760,1560,1640
"App server response time ms",334,740,586,366,360,292,344,311,309,290,773,319
"App server apdex",0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.93,0.93,0.94,0.91,0.93
"App server % satisfied",91.0,89.6,90.7,90.1,90.5,91.4,89.7,90.5,90.2,91.6,89.0,91.7
"App server % tolerating",4.9,6.1,5.0,5.0,4.7,4.1,5.6,5.3,5.9,4.1,4.1,3.1
"App server % frustrated",4.1,4.3,4.3,4.9,4.7,4.5,4.8,4.1,3.9,4.3,6.9,5.2
