@relation InstanceResultListener

@attribute Key_Dataset {Dataset_IMPL_1}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.functions.SimpleLinearRegression,weka.classifiers.functions.SMOreg}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8','','-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"'}
@attribute Key_Scheme_version_ID {-3364580862046573747,1679336022895414137,-7149606251113102827}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKernelEvaluations numeric
@attribute measureCacheHits numeric

@data

Dataset_IMPL_1,1,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.213757,0.22468,213.756983,222.067632,-1,0,0,?,?,?,?,?,?,0.072,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,1,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.034227,0.041341,22.818086,24.776863,1,0,0,?,?,?,?,?,?,0.067,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,1,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.087722,0.098116,35.088968,37.670226,1,0,0,?,?,?,?,?,?,0.065,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,1,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.03191,0.036558,207.41206,237.624225,0,0,0,?,?,?,?,?,?,0.065,0,0.015625,0,15.625,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,1,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,13,2,0.059707,0.060001,39.804469,35.960212,1,0,0,?,?,?,?,?,?,0.065,0,0,0,0,0,4368,1459,964,?,?,?,?,?
Dataset_IMPL_1,1,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.152344,0.152344,49.600291,49.600291,0,0,0,?,?,?,?,?,?,0.063,0,0.015625,0,15.625,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,1,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.346683,0.346683,151.673703,151.673703,0,0,0,?,?,?,?,?,?,0.063,0.001,0,0,0,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,1,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.01158,0.01158,12.471003,12.471003,0,0,0,?,?,?,?,?,?,0.063,0,0.015625,0,15.625,0,4368,1504,919,?,?,?,?,?
Dataset_IMPL_1,1,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -additional-stats -output-debug-info -num-decimal-places 8',-3364580862046573747,20170525.2031,14,1,0.017422,0.017422,121.951219,121.951219,0,0,0,?,?,?,?,?,?,0.064,0,0,0,0,0,4368,1504,919,?,?,?,?,?
